2019/01/02,220,219
2019/01/03,223,215
2019/01/04,217,208
2019/01/07,219,213
2019/01/08,222,211
2019/01/09,226,215
2019/01/10,226,216
2019/01/11,227,220
2019/01/14,231,218
2019/01/15,233,221
2019/01/16,237,217
2019/01/17,237,220
2019/01/18,244,218
2019/01/21,244,221
2019/01/22,242,223
2019/01/23,241,220
2019/01/24,244,222
2019/01/25,248,226
2019/01/28,248,229
2019/01/29,245,222
2019/01/30,243,221
2019/02/11,259,228
2019/02/12,257,230
2019/02/13,259,229
2019/02/14,255,227
2019/02/15,252,227
2019/02/18,253,230
2019/02/19,250,229
2019/02/20,255,234
2019/02/21,259,236
2019/02/22,264,236
2019/02/25,282,238
2019/02/26,276,239
2019/02/27,280,239
2019/03/04,277,235
2019/03/05,273,233
2019/03/06,280,234
2019/03/07,274,234
2019/03/08,267,230
2019/03/11,270,230
2019/03/12,270,235
2019/03/13,273,237
2019/03/14,272,234
2019/03/15,276,239
2019/03/18,278,241
2019/03/19,275,240
2019/03/20,274,242
2019/03/21,277,245
2019/03/22,284,248
2019/03/25,276,241
2019/03/26,281,244
2019/03/27,279,241
2019/03/28,276,242
2019/03/29,282,245
2019/04/01,285,245
2019/04/02,290,246
2019/04/03,290,246
2019/04/08,294,253
2019/04/09,299,254
2019/04/10,300,254
2019/04/11,291,252
2019/04/12,293,252
2019/04/15,296,255
2019/04/16,300,257
2019/04/17,288,261
2019/04/18,291,264
2019/04/19,290,264
2019/04/22,289,266
2019/04/23,290,268
2019/04/24,289,269
2019/04/25,288,267
2019/04/26,290,260
2019/04/29,287,259
2019/04/30,295,259
2019/05/02,298,259
2019/05/03,309,265
2019/05/06,306,259
2019/05/07,311,262
2019/05/08,310,260
2019/05/09,300,256
2019/05/10,298,256
2019/05/13,286,250
2019/05/14,289,248
2019/05/15,290,249
2019/05/16,288,247
2019/05/17,291,241
2019/05/20,290,238
2019/05/21,290,234
2019/05/22,287,238
2019/05/23,292,230
2019/05/24,287,233
2019/05/27,281,231
2019/05/28,280,230
2019/05/29,280,229
2019/05/30,296,231
2019/05/31,311,235
2019/06/03,314,238
2019/06/04,311,233
2019/06/05,313,235
2019/06/06,307,232
2019/06/10,316,240
2019/06/11,308,244
2019/06/12,309,246
2019/06/13,309,240
2019/06/14,307,236
2019/06/17,300,233
2019/06/18,308,235
2019/06/19,308,244
2019/06/20,310,245
2019/06/21,313,248
2019/06/24,315,241
2019/06/25,311,238
2019/06/26,310,234
2019/06/27,313,240
2019/06/28,314,239
2019/07/01,314,248
2019/07/02,319,249
2019/07/03,317,242
2019/07/04,319,244
2019/07/05,321,243
2019/07/08,314,242
2019/07/09,313,242
2019/07/10,318,247
2019/07/11,322,250
2019/07/12,318,250
2019/07/15,314,254
2019/07/16,314,256
2019/07/17,310,252
2019/07/18,302,254
2019/07/19,304,259
2019/07/22,308,264
2019/07/23,314,264
2019/07/24,308,265
2019/07/25,313,265
2019/07/26,313,261
2019/07/29,319,261
2019/07/30,325,260
2019/07/31,314,259
2019/08/01,314,256
2019/08/02,316,251
2019/08/05,312,246
2019/08/06,309,248
2019/08/07,318,248
2019/08/08,316,253
2019/08/12,323,251
2019/08/13,318,246
2019/08/14,319,249
2019/08/15,316,248
2019/08/16,322,250
2019/08/19,353,252
2019/08/20,351,254
2019/08/21,347,254
2019/08/22,345,254
2019/08/23,342,254
2019/08/26,343,248
2019/08/27,345,250
2019/08/28,366,252
2019/08/29,365,254
2019/08/30,367,259
2019/09/02,370,257
2019/09/03,364,254
2019/09/04,365,257
2019/09/05,367,263
2019/09/06,374,263
2019/09/09,382,265
2019/09/10,378,261
2019/09/11,374,263
2019/09/12,375,262
2019/09/16,382,265
2019/09/17,383,265
2019/09/18,382,267
2019/09/19,380,265
2019/09/20,386,264
2019/09/23,388,264
2019/09/24,387,265
2019/09/25,380,266
2019/09/26,376,268
2019/09/27,369,272
2019/10/01,376,280
2019/10/02,372,279
2019/10/03,379,276
2019/10/04,385,276
2019/10/07,384,278
2019/10/08,384,286
2019/10/09,372,282
2019/10/14,370,290
2019/10/15,367,293
2019/10/16,360,296
2019/10/17,371,293
2019/10/18,370,293
2019/10/21,369,290
2019/10/22,371,294
2019/10/23,372,293
2019/10/24,381,293
2019/10/25,379,293
2019/10/28,387,294
2019/10/29,393,298
2019/10/30,396,299
2019/10/31,408,298
2019/11/01,405,299
2019/11/04,412,307
2019/11/05,425,310
2019/11/06,434,311
2019/11/07,425,309
2019/11/08,414,305
2019/11/11,403,301
2019/11/12,410,305
2019/11/13,408,304
2019/11/14,410,303
2019/11/15,422,307
2019/11/18,419,311
2019/11/19,421,315
2019/11/20,414,313
2019/11/21,407,311
2019/11/22,411,309
2019/11/25,418,307
2019/11/26,420,307
2019/11/27,422,311
2019/11/28,431,309
2019/11/29,421,305
2019/12/02,416,307
2019/12/03,418,307
2019/12/04,424,306
2019/12/05,420,312
2019/12/06,415,313
2019/12/09,426,316
2019/12/10,425,313
2019/12/11,429,319
2019/12/12,427,331
2019/12/13,432,339
2019/12/16,442,336
2019/12/17,460,345
2019/12/18,456,344
2019/12/19,454,335
2019/12/20,446,329
2019/12/23,449,334
2019/12/24,445,332
2019/12/25,452,333
2019/12/26,449,333
2019/12/27,446,338
2019/12/30,446,334
2019/12/31,443,331
2020/01/02,441,339
2020/01/03,434,339
2020/01/06,424,332
2020/01/07,426,329
2020/01/08,430,329
2020/01/09,437,337
2020/01/10,432,339
2020/01/13,422,341
2020/01/14,416,346
2020/01/15,416,340
2020/01/16,421,334
2020/01/17,420,333
2020/01/20,419,333
2020/01/30,383,316
2020/01/31,388,320
2020/02/03,382,315
2020/02/04,390,325
2020/02/05,381,327
2020/02/06,382,332
2020/02/07,381,328
2020/02/10,380,327
2020/02/11,390,331
2020/02/12,401,335
2020/02/13,408,335
2020/02/14,405,335
2020/02/17,398,331
2020/02/18,392,322
2020/02/19,388,326
2020/02/20,394,325
2020/02/21,388,325
2020/02/24,377,320
2020/02/25,378,322
2020/02/26,375,318
2020/02/27,360,316
2020/03/02,363,311
2020/03/03,372,317
2020/03/04,370,320
2020/03/05,385,323
2020/03/06,378,315
2020/03/09,366,305
2020/03/10,373,307
2020/03/11,363,302
2020/03/12,336,294
2020/03/13,341,290
2020/03/16,320,276
2020/03/17,315,268
2020/03/18,301,260
2020/03/19,274,248
2020/03/20,301,270
2020/03/23,308,255
2020/03/24,330,267
2020/03/25,334,277
2020/03/26,343,280
2020/03/27,340,273
2020/03/30,336,267
2020/03/31,327,274
2020/04/01,334,271
2020/04/06,341,275
2020/04/07,347,283
2020/04/08,349,285
2020/04/09,351,283
2020/04/10,350,279
2020/04/13,351,278
2020/04/14,365,285
2020/04/15,365,287
2020/04/16,361,286
2020/04/17,368,306
2020/04/20,370,304
2020/04/21,353,295
2020/04/22,346,294
2020/04/23,351,295
2020/04/24,348,294
2020/04/27,372,298
2020/04/28,375,296
2020/04/29,398,299
